Z_MIN,TUILE,TO_DALLE
"41,734",tile_x19y93,CP
"41,734",tile_x19y94,CP
"41,789",tile_x19y95,CP
"41,887",tile_x19y96,CP
"41,932",tile_x19y97,CO
"41,191",tile_x19y98,CO
"41,685",tile_x19y99,CO
"41,548",tile_x20y100,CO
"40,960",tile_x20y101,CO
"42,750",tile_x20y102,CN
"42,780",tile_x20y103,CN
"42,980",tile_x20y104,CN
"42,329",tile_x20y105,CN
"43,240",tile_x20y106,CN
"43,200",tile_x20y107,CM
"42,532",tile_x20y108,CM
"42,503",tile_x20y109,CM
"43,690",tile_x20y110,CM
"43,745",tile_x20y111,CM
"43,970",tile_x20y112,CL
"44,094",tile_x20y113,CL
"43,729",tile_x20y114,CL
"45,336",tile_x20y115,CL
"44,707",tile_x20y116,CL
"44,957",tile_x20y117,CK
"43,650",tile_x20y70,CU
"43,334",tile_x20y71,CU
"43,364",tile_x20y72,CT
"43,106",tile_x20y73,CT
"43,128",tile_x20y74,CT
"43,014",tile_x20y75,CT
"42,406",tile_x20y76,CT
"41,623",tile_x20y77,CS
"41,809",tile_x20y78,CS
"41,830",tile_x20y79,CS
"42,780",tile_x20y80,CS
"42,760",tile_x20y81,CS
"42,610",tile_x20y82,CR
"41,619",tile_x20y83,CR
"41,300",tile_x20y84,CR
"40,820",tile_x20y85,CR
"42,360",tile_x20y86,CR
"42,110",tile_x20y87,CQ
"42,130",tile_x20y88,CQ
"41,775",tile_x20y89,CQ
"41,171",tile_x20y90,CQ
"41,434",tile_x20y91,CQ
"41,610",tile_x20y92,CP
"41,719",tile_x20y93,CP
"41,522",tile_x20y94,CP
"42,190",tile_x20y95,CP
"42,170",tile_x20y96,CP
"40,889",tile_x20y97,CO
"41,214",tile_x20y98,CO
"41,707",tile_x20y99,CO
"40,197",tile_x21y100,DO
"40,551",tile_x21y101,DO
"42,036",tile_x21y102,DN
"42,111",tile_x21y103,DN
"42,190",tile_x21y104,DN
"42,365",tile_x21y105,DN
"42,290",tile_x21y106,DN
"42,636",tile_x21y107,DM
"43,040",tile_x21y108,DM
"42,651",tile_x21y109,DM
"43,150",tile_x21y110,DM
"44,170",tile_x21y111,DM
"43,838",tile_x21y112,DL
"43,930",tile_x21y113,DL
"43,854",tile_x21y114,DL
"44,740",tile_x21y115,DL
"44,600",tile_x21y116,DL
"44,738",tile_x21y117,DK
"44,900",tile_x21y67,DU
"44,560",tile_x21y68,DU
"44,390",tile_x21y69,DU
"44,291",tile_x21y70,DU
"43,997",tile_x21y71,DU
"43,986",tile_x21y72,DT
"43,518",tile_x21y73,DT
"43,644",tile_x21y74,DT
"43,105",tile_x21y75,DT
"42,879",tile_x21y76,DT
"42,499",tile_x21y77,DS
"42,920",tile_x21y78,DS
"41,660",tile_x21y79,DS
"41,510",tile_x21y80,DS
"40,994",tile_x21y81,DS
"41,243",tile_x21y82,DR
"41,520",tile_x21y83,DR
"40,614",tile_x21y84,DR
"40,738",tile_x21y85,DR
"42,054",tile_x21y86,DR
"41,661",tile_x21y87,DQ
"41,507",tile_x21y88,DQ
"41,728",tile_x21y89,DQ
"40,899",tile_x21y90,DQ
"41,940",tile_x21y91,DQ
"40,840",tile_x21y92,DP
"41,263",tile_x21y93,DP
"41,495",tile_x21y94,DP
"41,634",tile_x21y95,DP
"41,850",tile_x21y96,DP
"40,630",tile_x21y97,DO
"42,100",tile_x21y98,DO
"42,150",tile_x21y99,DO
"39,604",tile_x22y100,DO
"42,310",tile_x22y101,DO
"42,240",tile_x22y102,DN
"42,600",tile_x22y103,DN
"42,449",tile_x22y104,DN
"42,255",tile_x22y105,DN
"42,527",tile_x22y106,DN
"42,431",tile_x22y107,DM
"42,415",tile_x22y108,DM
"42,414",tile_x22y109,DM
"43,210",tile_x22y110,DM
"43,240",tile_x22y111,DM
"43,016",tile_x22y112,DL
"43,242",tile_x22y113,DL
"43,688",tile_x22y114,DL
"44,387",tile_x22y115,DL
"44,423",tile_x22y116,DL
"44,913",tile_x22y117,DK
"45,449",tile_x22y63,DV
"45,731",tile_x22y64,DV
"45,670",tile_x22y65,DV
"45,670",tile_x22y66,DV
"45,940",tile_x22y67,DU
"44,830",tile_x22y68,DU
"44,411",tile_x22y69,DU
"43,831",tile_x22y70,DU
"44,030",tile_x22y71,DU
"44,024",tile_x22y72,DT
"43,706",tile_x22y73,DT
"43,660",tile_x22y74,DT
"42,609",tile_x22y75,DT
"41,899",tile_x22y76,DT
"41,910",tile_x22y77,DS
